BOARD;CHANNEL;TIMETAG;ENERGY;ENERGYSHORT;FLAGS
0;3;7968786653999;9605;9022;0x4000
0;3;7973395815998;14267;12888;0x4000
0;3;8035073967999;3672;3869;0x4000
0;3;8056880837998;10228;9527;0x4000
0;3;8060389367998;2291;2610;0x4000
0;3;8070567151998;1252;1601;0x4000
0;3;8085775823998;16383;27;0x4080
0;3;8120679309998;1256;1654;0x4000
0;3;8266681173999;9082;8624;0x4000
0;3;8285404855999;16383;120;0x4080
0;3;8322403339999;3338;3601;0x4000
0;3;8334217589999;408;835;0x4000
0;3;8356036049999;9972;9399;0x4000
0;3;8434667047999;5940;5888;0x4000
0;3;8468331269998;905;1331;0x4000
0;3;8502113137999;741;1170;0x4000
0;3;8512770197998;16383;16383;0x4480
0;3;8544436027999;10407;9731;0x4000
0;3;8547737671999;2910;3203;0x4000
0;3;8599028991998;679;1101;0x4000
0;3;8608466629998;9989;9367;0x4000
0;3;8673413389998;8198;7848;0x4000
0;3;8719979509999;2533;2862;0x4000
0;3;8779204541999;8877;8454;0x4000
0;3;8920084765999;10362;9635;0x4000
0;3;8953068565998;16383;16383;0x4480
0;3;9006071301999;7583;7312;0x4000
0;3;9068082205999;1863;2235;0x4000
0;3;9126572843999;5513;5547;0x4000
0;3;9157188977998;2186;2471;0x4000
0;3;9174729465998;12840;11699;0x4000
0;3;9193335671999;4059;4250;0x4000
0;3;9218753615999;225;686;0x4000
0;3;9257836767999;2546;2838;0x4000
0;3;9281516913999;11050;10182;0x4000
0;3;9363449263999;10513;9826;0x4000
0;3;9378941933999;2971;3248;0x4000
0;3;9483624591999;5537;5569;0x4000
0;3;9488169167999;437;869;0x4000
0;3;9489304143999;350;807;0x4000
0;3;9523526927999;14816;13338;0x4000
0;3;9540323739999;10045;9439;0x4000
0;3;9596603783998;5091;5157;0x4000
0;3;9602084743998;2629;2959;0x4000
0;3;9641458415999;16383;360;0x4080
0;3;9971124197998;2913;3197;0x4000
0;3;10033674943999;6205;6126;0x4000
0;3;10045291031998;7388;7146;0x4000
0;3;10104309047998;3073;3320;0x4000
0;3;10105311547998;9823;9305;0x4000
0;3;10131237877998;993;1409;0x4000
0;3;10133196157999;3804;4013;0x4000
0;3;10135593679999;16383;16383;0x4480
0;3;10173843903998;5428;5453;0x4000
0;3;10200034999999;407;842;0x4000
0;3;10208891615998;72;513;0x4000
0;3;10258831559998;5319;5359;0x4000
0;3;10322366343998;3571;3807;0x4000
0;3;10379156367998;652;1084;0x4000
0;3;10386938941999;2316;2687;0x4000
0;3;10427354471999;728;1136;0x4000
0;3;10479236247999;906;1324;0x4000
0;3;10564748601998;16383;16383;0x4480
0;3;10644365853998;4276;4443;0x4000
0;3;10697162453999;2794;3098;0x4000
0;3;10724005999999;1352;1739;0x4000
0;3;10821052835998;6655;6530;0x4000
0;3;10913008199999;2851;3116;0x4000
0;3;10944505075998;366;811;0x4000
0;3;11015995965998;4594;4715;0x4000
0;3;11053218057998;8627;8184;0x4000
0;3;11123642191999;2183;2514;0x4000
0;3;11142347703998;16383;16383;0x4480
0;3;11320337169998;7643;7410;0x4000
0;3;11460313669999;146;617;0x4000
0;3;11484199599999;617;1038;0x4000
0;3;11502376189998;1520;1902;0x4000
0;3;11558234159999;11992;11015;0x4000
0;3;11578580731998;7428;7249;0x4000
0;3;11579520991998;1662;2016;0x4000
0;3;11610223647998;16383;16383;0x4080
0;3;11654169693998;2399;2717;0x4000
0;3;11658426187999;3496;3752;0x4000
0;3;11687895509999;3037;3322;0x4000
0;3;11789976285999;5716;5721;0x4000
0;3;11821015263998;1186;1597;0x4000
0;3;11821773207999;5986;5980;0x4000
0;3;11922485605999;3838;4067;0x4000
0;3;11942895551998;6051;6010;0x4000
0;3;11959401087999;161;627;0x4000
0;3;11985574695999;2096;2434;0x4000
0;3;12057069871998;3080;3343;0x4000
0;3;12102299165999;3236;3495;0x4000
0;3;12126485343998;289;700;0x4000
0;3;12151954483999;4098;4304;0x4000
0;3;12315620893998;8050;7723;0x4000
0;3;12383294087999;4609;4748;0x4000
0;3;12398989941998;121;572;0x4000
0;3;12420858955999;529;974;0x4000
0;3;12495952195999;3541;3763;0x4000
0;3;12514600679998;2205;2536;0x4000
0;3;12547260191999;4888;4975;0x4000
0;3;12558217781998;9727;9193;0x4000
0;3;12575791283998;1636;2032;0x4000
0;3;12710311869999;450;912;0x4000
0;3;12866396123998;9359;8842;0x4000
0;3;12887656111999;4104;4269;0x4000
0;3;12929070407999;16383;16383;0x4480
0;3;13005004023999;472;914;0x4000
0;3;13064761867999;3632;3879;0x4000
0;3;13162466671998;10;484;0x4000
0;3;13171084125998;1111;1496;0x4000
0;3;13181568055998;1676;2094;0x4000
0;3;13268657947998;2737;3044;0x4000
0;3;13318049541998;11126;10376;0x4000
0;3;13419284623998;692;1110;0x4000
0;3;13474738661998;963;1362;0x4000
0;3;13504747863998;1989;2333;0x4000
0;3;13527001581999;3294;3553;0x4000
0;3;13537305459998;833;1253;0x4000
0;3;13657349241999;16383;16383;0x4480
0;3;13719490639998;1006;1406;0x4000
0;3;13723116213999;4476;4618;0x4000
0;3;13814088909999;12340;11290;0x4000
0;3;13863399079998;2935;3233;0x4000
0;3;13885001873999;8720;8324;0x4000
0;3;13895271679998;605;1013;0x4000
0;3;13964841253999;4858;4945;0x4000
0;3;13987294045999;2745;3055;0x4000
0;3;14021330847998;16383;416;0x4080
0;3;14027732349999;1654;1972;0x4000
0;3;14050735767999;1169;1554;0x4000
0;3;14109563959999;6566;6456;0x4000
0;3;14148989887998;6078;5925;0x4000
0;3;14181354799998;1494;1869;0x4000
0;3;14182089223998;2765;3066;0x4000
0;3;14246643347999;2928;3210;0x4000
0;3;14289028599999;16383;316;0x4080
0;3;14305267933998;3094;3362;0x4000
0;3;14340176579999;6861;6697;0x4000
0;3;14416319221999;2025;2348;0x4000
0;3;14432531045998;16383;16383;0x4480
0;3;14434967543999;7591;7339;0x4000
0;3;14523101319998;16383;16383;0x4480
0;3;14544869623999;16383;14936;0x4080
0;3;14549931237998;2864;3143;0x4000
0;3;14567802421998;3945;4142;0x4000
0;3;14670738807999;3395;3623;0x4000
0;3;14731100591999;2254;2589;0x4000
0;3;14747721491998;634;1025;0x4000
0;3;14807248399999;3853;4052;0x4000
0;3;14816916213999;195;626;0x4000
0;3;14824514919998;3829;4032;0x4000
0;3;14842790519999;1042;1443;0x4000
0;3;14843675931999;392;808;0x4000
0;3;14861158695999;7134;6935;0x4000
0;3;14919303861998;4116;4290;0x4000
0;3;14952274883999;904;1339;0x4000
0;3;15009689691998;8811;8377;0x4000
0;3;15045243207999;10247;9556;0x4000
0;3;15081093231998;2764;3045;0x4000
0;3;15104156305999;6215;6158;0x4000
0;3;15107158743998;1256;1630;0x4000
0;3;15128258837998;5497;5529;0x4000
0;3;15214521599999;16383;391;0x4080
0;3;15288880999999;3739;3955;0x4000
0;3;15349910155998;1831;2198;0x4000
0;3;15360323119999;2484;2806;0x4000
0;3;15377196553999;4685;4771;0x4000
0;3;15381385671999;2256;2588;0x4000
0;3;15418829727998;1250;1648;0x4000
0;3;15432150111998;8204;7836;0x4000
0;3;15494494613310;16383;16383;0x4480
0;3;15500611255998;9167;8642;0x4000
0;3;15627491611998;4853;4929;0x4000
0;3;15629715383999;45;512;0x4000
0;3;15720727739999;3695;3915;0x4000
0;3;15753458685999;12674;11592;0x4000
0;3;15768748691999;6279;6190;0x4000
0;3;15810962311998;8036;7708;0x4000
0;3;15838783919999;55;530;0x4000
0;3;15876892223999;1699;2068;0x4000
0;3;15882200819999;16383;207;0x4080
0;3;15882563215999;799;1212;0x4000
0;3;15885497317999;6663;6573;0x4000
0;3;15890414875998;2282;2599;0x4000
0;3;15901918421998;4575;4686;0x4000
0;3;15938189133999;1054;1479;0x4000
0;3;15971698461999;9202;8704;0x4000
0;3;15988750009998;2948;3233;0x4000
0;3;16005891343999;11952;10975;0x4000
0;3;16031346269999;851;1271;0x4000
0;3;16064300975999;3008;3281;0x4000
0;3;16154949213999;6050;6009;0x4000
0;3;16166205013998;4254;4361;0x4000
0;3;16265054647999;2154;2517;0x4000
0;3;16305113205998;566;995;0x4000
0;3;16407130829998;7102;6907;0x4000
